game_id,team_name,team_KD,win
163170,DetonatioN FocusMe,1.2,1
163171,T1,1.22,1
163172,DetonatioN FocusMe,1.12,1
163173,Gen.G,0.87,1
163174,Paper Rex,1.1,1
163175,Paper Rex,1.38,1
163176,T1,1.03,1
163177,DRX,1.77,1
163178,DRX,1.6,1
163179,Team Secret,1.18,1
163180,ZETA DIVISION,1.54,1
163181,Team Secret,1.12,1
163182,Rex Regum Qeon,1.72,1
163183,Rex Regum Qeon,1.39,1
163185,Gen.G,1.23,1
163186,Gen.G,1.23,1
163188,Global Esports,1.52,1
163189,Talon Esports,1.09,1
163190,Talon Esports,1.28,1
163191,T1,1.55,1
163192,T1,1.15,1
163194,ZETA DIVISION,1.14,1
163195,BLEED,1.29,1
163196,ZETA DIVISION,1.15,1
163197,DRX,1.21,1
163198,Gen.G,1.11,1
163199,DRX,1.38,1
163200,DetonatioN FocusMe,1.01,1
163201,BLEED,1.16,1
163202,BLEED,1.74,1
163203,Global Esports,1.33,1
163204,Global Esports,1.14,1
163206,Team Secret,1.26,1
163207,Team Secret,1.26,1
163209,Talon Esports,1.01,1
163210,Talon Esports,1.16,1
163212,Gen.G,1.35,1
163213,Gen.G,1.06,1
163215,Team Secret,1.31,1
163216,DetonatioN FocusMe,1.06,1
163217,Team Secret,2.03,1
163218,Paper Rex,1.47,1
163219,Paper Rex,1.19,1
163221,Paper Rex,1.38,1
163222,Paper Rex,1.38,1
163224,DetonatioN FocusMe,0.99,1
163225,Global Esports,1.37,1
163226,Global Esports,1.21,1
163227,ZETA DIVISION,0.97,1
163228,T1,1.13,1
163229,T1,1.07,1
163230,Team Secret,1.08,1
163231,Talon Esports,1.17,1
163232,Talon Esports,1.17,1
163233,DRX,1.05,1
163234,DRX,1.6,1
163236,Gen.G,1.5,1
163237,Rex Regum Qeon,1.18,1
163238,Rex Regum Qeon,1.17,1
163239,DRX,2.06,1
163240,ZETA DIVISION,1.08,1
163241,DRX,1.52,1
163242,BLEED,1.12,1
163243,Team Secret,1.13,1
163244,Team Secret,1.39,1
163245,Gen.G,1.02,1
163246,T1,1.58,1
163247,Gen.G,1.01,1
163248,Paper Rex,1.66,1
163249,Paper Rex,1.19,1
163251,Rex Regum Qeon,1.29,1
163252,Rex Regum Qeon,1.1,1
163254,Team Secret,1.18,1
163255,Team Secret,1.18,1
163257,Talon Esports,1.06,1
163258,Rex Regum Qeon,1.14,1
163259,Talon Esports,1.06,1
163261,DRX,1.06,1
163262,Paper Rex,1.5,1
163263,Global Esports,1.2,1
163264,Global Esports,1.21,1
163266,ZETA DIVISION,1.16,1
163267,DetonatioN FocusMe,1.12,1
163268,DetonatioN FocusMe,1.18,1
163269,Rex Regum Qeon,1.34,1
163270,Rex Regum Qeon,1.08,1
163272,T1,1.17,1
163273,Team Secret,1.24,1
163274,Team Secret,0.98,1
163275,Talon Esports,1.44,1
163276,Talon Esports,1.09,1
163278,Rex Regum Qeon,1.24,1
163279,Rex Regum Qeon,1.03,1
163281,Global Esports,0.96,1
163282,T1,1.25,1
163283,T1,1.4,1
163284,Gen.G,1.29,1
163285,BLEED,1.09,1
163286,Gen.G,1.15,1
163287,Paper Rex,1.6,1
163288,Paper Rex,1.12,1
163290,Talon Esports,1.13,1
163291,DRX,1.01,1
163292,DRX,1.19,1
163293,Paper Rex,1.06,1
163294,Rex Regum Qeon,1.17,1
163295,Paper Rex,1.07,1
163296,Gen.G,2.79,1
163297,Gen.G,1.44,1
163299,DRX,1.08,1
163300,DetonatioN FocusMe,1.38,1
163302,ZETA DIVISION,1.4,1
163303,Talon Esports,1.19,1
